zon,tarikh_cadangan,kolej_terlibat,unit_petugas,bilangan_petugas,catatan_maklum_balas
Zon A,2026-07-27,Kolej Tun Fatimah; Kolej Rahman Putra,Pusat Kesihatan Universiti,4,Pasukan pemeriksaan dan nasihat kesihatan
Zon A,2026-07-27,Kolej Tun Fatimah; Kolej Rahman Putra,Jabatan Harta Bina,8,Pembersihan longkang dan pelupusan bahan takungan
Zon A,2026-07-27,Kolej Tun Fatimah; Kolej Rahman Putra,Unit Keselamatan,3,Kawalan laluan dan akses kawasan
Zon A,2026-07-27,Kolej Tun Fatimah; Kolej Rahman Putra,Pejabat Hal Ehwal Pelajar,4,Penyelarasan sukarelawan dan penghuni
Zon B,2026-07-28,Kolej Tun Dr Ismail; Kolej Datin Seri Endon,Pusat Kesihatan Universiti,4,Pasukan pemeriksaan dan nasihat kesihatan
Zon B,2026-07-28,Kolej Tun Dr Ismail; Kolej Datin Seri Endon,Jabatan Harta Bina,8,Pembersihan longkang dan pelupusan bahan takungan
Zon B,2026-07-28,Kolej Tun Dr Ismail; Kolej Datin Seri Endon,Unit Keselamatan,3,Kawalan laluan dan akses kawasan
Zon B,2026-07-28,Kolej Tun Dr Ismail; Kolej Datin Seri Endon,Pejabat Hal Ehwal Pelajar,4,Penyelarasan sukarelawan dan penghuni
Zon C,2026-07-29,Kolej Perdana; Kolej 9 & 10,Pusat Kesihatan Universiti,4,Pasukan pemeriksaan dan nasihat kesihatan
Zon C,2026-07-29,Kolej Perdana; Kolej 9 & 10,Jabatan Harta Bina,8,Pembersihan longkang dan pelupusan bahan takungan
Zon C,2026-07-29,Kolej Perdana; Kolej 9 & 10,Unit Keselamatan,3,Kawalan laluan dan akses kawasan
Zon C,2026-07-29,Kolej Perdana; Kolej 9 & 10,Pejabat Hal Ehwal Pelajar,4,Penyelarasan sukarelawan dan penghuni
